"","genus","species","zsp","loc","park","month","day","year","status","family","date","julDay","genusSpecies","habtype","Num"
"24","Hylomantis","lemur",11.019686,"Verrugosa","y",12,9,2004,NA,"Hylidae",2004-12-09,280,"Hylomantis_lemur","t",1
"25","Hylomantis","lemur",84.91306,"Verrugosa","y",12,9,2004,NA,"Hylidae",2004-12-09,280,"Hylomantis_lemur","t",1
"30","Hylomantis","lemur",3269.104,"Guabal","y",12,17,2004,"Dying","Hylidae",2004-12-17,288,"Hylomantis_lemur","s",1
"31","Atelopus","varius",0.001984026,"Silenciosa","y",12,1,2004,"Dying","Bufonidae",2004-12-01,272,"Atelopus_varius","s",1
"32","Atelopus","varius",29709.86,"Silenciosa","y",12,1,2004,NA,"Bufonidae",2004-12-01,272,"Atelopus_varius","s",1
"33","Atelopus","varius",2177.6175,"Loop_Stream","y",12,1,2004,NA,"Bufonidae",2004-12-01,272,"Atelopus_varius","s",1
"34","Atelopus","varius",5.1130317,"Guabal","y",12,4,2004,NA,"Bufonidae",2004-12-04,275,"Atelopus_varius","s",1
"35","Atelopus","varius",0.60249073,"Guabal","y",12,4,2004,NA,"Bufonidae",2004-12-04,275,"Atelopus_varius","s",1
"36","Atelopus","varius",11549.3034,"Guabal","y",12,4,2004,NA,"Bufonidae",2004-12-04,275,"Atelopus_varius","s",1
"37","Atelopus","varius",0.001027191,"Guabal","y",12,4,2004,NA,"Bufonidae",2004-12-04,275,"Atelopus_varius","s",1
"38","Atelopus","varius",11978.647,"Guabal","y",12,4,2004,NA,"Bufonidae",2004-12-04,275,"Atelopus_varius","s",1
"39","Atelopus","varius",3296.138,"Guabal","y",12,4,2004,NA,"Bufonidae",2004-12-04,275,"Atelopus_varius","s",1
"40","Atelopus","varius",3866.4654,"Guabal","y",12,8,2004,NA,"Bufonidae",2004-12-08,279,"Atelopus_varius","s",1
"41","Atelopus","varius",0,"Verrugosa","y",12,9,2004,NA,"Bufonidae",2004-12-09,280,"Atelopus_varius","t",1
"42","Atelopus","varius",39074.158,"Guabal","y",12,11,2004,NA,"Bufonidae",2004-12-11,282,"Atelopus_varius","s",1
"43","Bolitoglossa","colonnea",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_colonnea","t",1
"44","Bolitoglossa","schizodactyla",24.327314,"Guabal","y",12,4,2004,NA,"Plethodontidae",2004-12-04,275,"Bolitoglossa_schizodactyla","s",1
"45","Bolitoglossa","schizodactyla",0.003484644,"Guabal","y",12,4,2004,NA,"Plethodontidae",2004-12-04,275,"Bolitoglossa_schizodactyla","s",1
"46","Bolitoglossa","schizodactyla",174.06,"Guabal","y",12,4,2004,NA,"Plethodontidae",2004-12-04,275,"Bolitoglossa_schizodactyla","s",1
"47","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"48","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"49","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"50","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"51","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"52","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"53","Bolitoglossa","schizodactyla",0,"Loop_Trail","y",12,7,2004,NA,"Plethodontidae",2004-12-07,278,"Bolitoglossa_schizodactyla","t",1
"54","Bolitoglossa","schizodactyla",0,"Verrugosa","y",12,9,2004,NA,"Plethodontidae",2004-12-09,280,"Bolitoglossa_schizodactyla","t",1
"55","Bolitoglossa","schizodactyla",0,"Verrugosa","y",12,9,2004,NA,"Plethodontidae",2004-12-09,280,"Bolitoglossa_schizodactyla","t",1
"56","Bolitoglossa","schizodactyla",0,"Verrugosa","y",12,9,2004,NA,"Plethodontidae",2004-12-09,280,"Bolitoglossa_schizodactyla","t",1
"57","Bolitoglossa","schizodactyla",1.3288075,"Silenciosa","y",12,10,2004,NA,"Plethodontidae",2004-12-10,281,"Bolitoglossa_schizodactyla","s",1
"58","Bolitoglossa","schizodactyla",53.48542,"Silenciosa","y",12,10,2004,NA,"Plethodontidae",2004-12-10,281,"Bolitoglossa_schizodactyla","s",1
"59","Bolitoglossa","schizodactyla",3.9732117,"Silenciosa","y",12,10,2004,NA,"Plethodontidae",2004-12-10,281,"Bolitoglossa_schizodactyla","s",1
"152","Colostethus","panamansis",22.926861,"Guabal","y",12,11,2004,NA,"Dendrobatidae",2004-12-11,282,"Colostethus_panamansis","s",1
"181","Colostethus","pratti",1.6518876,"Verrugosa","y",12,9,2004,NA,"Dendrobatidae",2004-12-09,280,"Colostethus_pratti","t",1
"182","Colostethus","pratti",0,"Verrugosa","y",12,9,2004,NA,"Dendrobatidae",2004-12-09,280,"Colostethus_pratti","t",1
"183","Craugastor","crassidigitus",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"184","Craugastor","crassidigitus",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"185","Craugastor","crassidigitus",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"186","Craugastor","crassidigitus",169.5253,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"187","Craugastor","crassidigitus",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"188","Craugastor","crassidigitus",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"189","Craugastor","crassidigitus",0.006337814,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"190","Craugastor","crassidigitus",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_crassidigitus","t",1
"191","Craugastor","crassidigitus",31.63331,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"192","Craugastor","crassidigitus",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"193","Craugastor","crassidigitus",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"194","Craugastor","crassidigitus",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"195","Craugastor","crassidigitus",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"196","Craugastor","crassidigitus",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"197","Craugastor","crassidigitus",308.80682,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_crassidigitus","t",1
"202","Craugastor","gollmeri",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_gollmeri","t",1
"203","Craugastor","gollmeri",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_gollmeri","t",1
"204","Craugastor","megacephalus",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_megacephalus","t",1
"205","Craugastor","talamancae",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_talamancae","t",1
"206","Craugastor","talamancae",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_talamancae","t",1
"207","Craugastor","talamancae",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_talamancae","t",1
"208","Craugastor","talamancae",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_talamancae","t",1
"209","Craugastor","talamancae",0,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_talamancae","t",1
"210","Craugastor","talamancae",47.773919,"Loop_Trail","y",12,7,2004,NA,"Craugastoridae",2004-12-07,278,"Craugastor_talamancae","t",1
"211","Craugastor","talamancae",0,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_talamancae","t",1
"212","Craugastor","talamancae",304.9205,"Verrugosa","y",12,9,2004,NA,"Craugastoridae",2004-12-09,280,"Craugastor_talamancae","t",1
"213","Craugastor","talamancae",1508.1445,"Silenciosa","y",12,10,2004,"Dying","Craugastoridae",2004-12-10,281,"Craugastor_talamancae","s",1
"214","Craugastor","talamancae",802.9307,"Silenciosa","y",12,10,2004,NA,"Craugastoridae",2004-12-10,281,"Craugastor_talamancae","s",1
"215","Craugastor","talamancae",1050.6868,"Silenciosa","y",12,10,2004,NA,"Craugastoridae",2004-12-10,281,"Craugastor_talamancae","s",1
"222","Espadarana","prosoblepon",0.001520724,"Silenciosa","y",12,10,2004,NA,"Centrolenidae",2004-12-10,281,"Espadarana_prosoblepon","s",1
"223","Hyloscirtus","colymba",599.9781,"Guabal","y",12,4,2004,NA,"Hylidae",2004-12-04,275,"Hyloscirtus_colymba","s",1
"224","Hyloscirtus","colymba",0,"Silenciosa","y",12,10,2004,NA,"Hylidae",2004-12-10,281,"Hyloscirtus_colymba","s",1
"225","Hyloscirtus","palmeri",365.42385,"Guabal","y",12,4,2004,NA,"Hylidae",2004-12-04,275,"Hyloscirtus_palmeri","s",1
"226","Hyloscirtus","palmeri",598.35896,"Guabal","y",12,4,2004,NA,"Hylidae",2004-12-04,275,"Hyloscirtus_palmeri","s",1
