File_NAme,Pisces_No.,Source_ID,Collector,Date,Month,Mo,Day,Year,Transect,Stream_Forest,Park,Location,Genus,Species,New_Genus,New_Species,New_Fam,Sample_Type,Qty_ABI_Stock,Qty_ABI_Dilution,ZoospLoad_Dilution,Qty_ABI_StockR,Qty_ABI_DilutionR,ZoospLoad_DilutionR,Pisces_Result,Zoospore_Load_max,Zoospore_Load_avg,Disease_status,Pisces_posoneg,Level,ID,R,Sex,SVL,Mass,Act,Ht_cm,Dist_cm,Substrate,Meter,Bank,Time,comments2
AdriaNA's,C562,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Craugastor,megacephalus,Craugastor,megacephalus,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,9.2379768,9.2379768,NA,AfterPisces,10-Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C558,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Craugastor,talamancae,Craugastor,talamancae,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C560,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Craugastor,talamancae,Craugastor,talamancae,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,47.9308368,47.9308368,NA,AfterPisces,10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C572,NA,NA,NA,August,8,NA,2008,Yes,Trail,Yes,Main_Trail,Craugastor,talamancae,Craugastor,talamancae,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,53.4498832,53.4498832,NA,AfterPisces,10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C566,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Craugastor,talamancae,Craugastor,talamancae,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C567,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Craugastor,talamancae,Craugastor,talamancae,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C569,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Craugastor,talamancae,Craugastor,talamancae,Craugastoridae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C559,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Bufo,coniferus,Bufo,coniferus,Bufonidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C561,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Bufo,coniferus,Bufo,coniferus,Bufonidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0.007675675,0.007675675,NA,AfterPisces,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C568,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Bufo,coniferus,Bufo,coniferus,Bufonidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0.477538592,0.477538592,NA,AfterPisces,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C546,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Leptodactylus,labiales,Leptodactylus,mystacinus,Leptodactylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C548,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Leptodactylus,labiales,Leptodactylus,mystacinus,Leptodactylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C552,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Leptodactylus,labiales,Leptodactylus,mystacinus,Leptodactylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C565,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Leptodactylus,labiales,Leptodactylus,mystacinus,Leptodactylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0.604703576,0.604703576,NA,AfterPisces,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C570,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Pristimantis,caryophyllaceus,Pristimantis,caryophyllaceus,Strabomantidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0.001266617,0.001266617,NA,AfterPisces,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C557,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,Rocky_Road,Prismantis,cerasinus,Pristimantis,cerasinus,Strabomantidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C571,NA,NA,NA,August,8,NA,2008,Yes,Trail,Yes,Main_Trail,Prismantis,cerasinus,Pristimantis,cerasinus,Strabomantidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0.69756856,0.69756856,NA,AfterPisces,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,C573,NA,NA,NA,August,8,NA,2008,Yes,Trail,Yes,Main_Trail,Prismantis,cerasinus,Pristimantis,cerasinus,Strabomantidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,3103,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Smilisca,phaeota,Smilisca,phaeota,Hylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,3104,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Smilisca,phaeota,Smilisca,phaeota,Hylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,3110,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Smilisca,phaeota,Smilisca,phaeota,Hylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,3105,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Smilisca,phaeota,Smilisca,phaeota,Hylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdriaNA's,3111,NA,NA,NA,August,8,NA,2008,No,Puddles,Yes,puddles,Smilisca,phaeota,Smilisca,phaeota,Hylidae,Swab,NA,NA,NA,NA,NA,NA,AfterPisces,0,0,NA,AfterPisces,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL011810-3.sds,51674,Swab___965,K._Lips,Dec-9-2004,December,12,9,2004,Yes,Trail,Yes,Verrugosa,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,0.09082768,0.11019686,11.019686,NA,NA,NA,++,11.019686,5.55525684,NA,1,10-100,NA,NA,NA,NA,NA,NA,150,10,LT,NA,NA,2123,NA
AL011810-3.sds,51675,Swab___966,K._Lips,Dec-9-2004,December,12,9,2004,Yes,Trail,Yes,Verrugosa,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,0.78655076,0.8491306,84.91306,NA,NA,NA,++,84.91306,42.84980538,NA,1,10-100,NA,NA,NA,NA,NA,NA,140,100,LT,NA,NA,2125,NA
AL011910-1.sds,51685,Swab___976,K._Lips,Dec-9-2004,December,12,9,2004,No,Pond,Yes,Verrugosa_Pond,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,1.1353558,0.25776893,25.776893,NA,NA,NA,++,25.776893,13.4561244,NA,1,10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL011910-1.sds,51686,Swab___977,K._Lips,Dec-9-2004,December,12,9,2004,No,Pond,Yes,Verrugosa_Pond,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,0.023228837,0,0,NA,NA,NA,+,0.023228837,0.011614419,NA,1,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL011910-1.sds,51688,Swab___979,K._Lips,Dec-9-2004,December,12,9,2004,No,Pond,Yes,Verrugosa_Pond,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,0.51243573,0.4029158,40.29158,NA,NA,NA,++,40.29158,20.40200787,NA,1,10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL011910-1.sds,51691,Swab___982,K._Lips,Dec-9-2004,December,12,9,2004,No,Pond,Yes,Verrugosa_Pond,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,0.005371999,0,0,NA,NA,NA,w+,0.005371999,0.002686,NA,1,0-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL012010-1.sds,52950,Swab___1103,K._Lips,Dec-17-2004,December,12,17,2004,Yes,Stream,Yes,Guabal,Phyllomedusa,lemur,Hylomantis,lemur,Hylidae,Swab,0.31051403,32.69104,3269.104,NA,NA,NA,+++,3269.104,1634.707257,Dying,1,1000-10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL011410-3.sds,51403,Swab___694,K._Lips,Dec-1-2004,December,12,1,2004,Yes,Stream,Yes,Silenciosa,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,0.001984026,0,0,NA,NA,NA,w+,0.001984026,0.000992013,Dying,1,0-1,NA,NA,F,NA,NA,Gravid,0,0,SB,10,C,1010,NA
AL011410-3.sds,51404,Swab___695,K._Lips,Dec-1-2004,December,12,1,2004,Yes,Stream,Yes,Silenciosa,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,1049.627,297.0986,29709.86,1336.5116,NA,NA,+++,29709.86,10698.6662,NA,1,>10000,NA,NA,F,NA,NA,Dying,0,0,MB,182,L,1036,Dying
AL011410-3.sds,51407,Swab___698,K._Lips,Dec-1-2004,December,12,1,2004,Yes,Stream,Yes,Loop_Stream,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,10.807376,21.776175,2177.6175,NA,NA,NA,+++,2177.6175,1094.212438,NA,1,1000-10000,NA,NA,Juv,NA,NA,NA,20,10,SB,2,L,1108,NA
AL011410-3.sds,51418,Swab___709,K._Lips,Dec-4-2004,December,12,4,2004,Yes,Stream,Yes,Guabal,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,0.05633879,0.051130317,5.1130317,NA,NA,NA,++,5.1130317,2.584685245,NA,1,10-Jan,NA,NA,F,NA,NA,Gravid,150,45,LT,90,L,2031,NA
AL011410-3.sds,51420,Swab___711,K._Lips,Dec-4-2004,December,12,4,2004,Yes,Stream,Yes,Guabal,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,0.001699467,0.006024907,0.60249073,NA,0.000565751,0.05657506,-,0.60249073,0.220255086,NA,0,0-1,NA,NA,F,NA,NA,Gravid,100,200,LT,113,R,2042,NA
AL011410-3.sds,51422,Swab___713,K._Lips,Dec-4-2004,December,12,4,2004,Yes,Stream,Yes,Guabal,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,256.6461,115.493034,11549.3034,NA,NA,NA,+++,11549.3034,5902.97475,NA,1,>10000,NA,NA,M,NA,NA,NA,150,0,LT,120,R,2048,NA
AL011410-3.sds,51423,Swab___714,K._Lips,Dec-4-2004,December,12,4,2004,Yes,Stream,Yes,Guabal,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,0.001027191,0,0,NA,NA,NA,w+,0.001027191,0.000513596,NA,1,0-1,NA,NA,M,NA,NA,NA,130,10,Branch,145,L,2100,NA
AL011510-1.sds,51424,Swab___715,K._Lips,Dec-4-2004,December,12,4,2004,Yes,Stream,Yes,Guabal,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,488.1195,119.78647,11978.647,NA,NA,NA,+++,11978.647,6233.38325,NA,1,>10000,NA,NA,F,NA,NA,NA,75,100,MB,126,R,2116,NA
AL011510-1.sds,51425,Swab___716,K._Lips,Dec-4-2004,December,12,4,2004,Yes,Stream,Yes,Guabal,Atelopus,zeteki,Atelopus,zeteki,Bufonidae,Swab,129.74013,32.96138,3296.138,NA,NA,NA,+++,3296.138,1712.939065,NA,1,1000-10000,NA,NA,M,NA,NA,NA,40,10,MB,182,L,2120,NA
